NAME,LOCATION,City,IMAGE,RATING,BOOK NOW
Tranzotel,kempegowda international airport road , Bangalore,https://jiwirooms.com/app/hotel_logo/tranz7.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Tranzotel_BUDGET_STAYS_HOTEL_RWXp
Hotel The Prince Royal,Uttharahalli , Bangalore,https://jiwirooms.com/app/hotel_logo/prince2.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Hotel-The-Prince-Royal_BUDGET_STAYS_HOTEL_RWRp
Dass Suites,Kormangala , Bangalore,https://jiwirooms.com/app/hotel_logo/39181.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Dass-Suites_BUDGET_STAYS_HOTEL_RYRx
Sapphire stay,someshwara nagar , Bangalore,https://jiwirooms.com/app/hotel_logo/sap7.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Sapphire-stay_BUDGET_STAYS_HOTEL_RWQp
Hotel Archana Comforts,J C Road , Bangalore,https://jiwirooms.com/app/hotel_logo/39623.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Hotel-Archana-Comforts_BUDGET_STAYS_HOTEL_RYWr
Vinaya Royal Inn,Electronic city , Bangalore,https://jiwirooms.com/app/hotel_logo/38367.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Vinaya-Royal-Inn_BUDGET_STAYS_HOTEL_RXTv
Queens Castle,BTM Layout , Bangalore,https://jiwirooms.com/app/hotel_logo/quee1.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Queens-Castle_BUDGET_STAYS_HOTEL_RWUr
Nagananda residency,Jayanagar , Bangalore,https://jiwirooms.com/app/hotel_logo/37823.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Nagananda-residency_BUDGET_STAYS_HOTEL_RWYr
Mouvrya paradise,yaswanthpura , Bangalore,https://jiwirooms.com/app/hotel_logo/mou6.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Mouvrya-paradise_BUDGET_STAYS_HOTEL_RVTy
Queens Castle,Ulsoor , Bangalore,https://jiwirooms.com/app/hotel_logo/que1.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Queens-Castle_BUDGET_STAYS_HOTEL_RWTr
Hotel GS Suites,Koramangala , Bangalore,https://jiwirooms.com/app/hotel_logo/38762.jpg,5,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Hotel-GS-Suites_BUDGET_STAYS_HOTEL_RXXv
Vijaya Lakshmi residency,Bannerghatta Road , Bangalore,https://jiwirooms.com/app/hotel_logo/vijaya4.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Vijaya-Lakshmi-residency_BUDGET_STAYS_HOTEL_RVUs
SRS deluxe lodge,hesaraghatta main road , Bangalore,https://jiwirooms.com/app/hotel_logo/srs1.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/SRS-deluxe-lodge_BUDGET_STAYS_HOTEL_RVUy
Atithi residency,Marathahalli , Bangalore,https://jiwirooms.com/app/hotel_logo/atithi-residency-marthahalli-bengaluru-room-142139410765-orig.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Atithi-residency_BUDGET_STAYS_HOTEL_RWSr
Symphony Suites,Jayanagar East End , Bangalore,https://jiwirooms.com/app/hotel_logo/39115.JPG,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Symphony-Suites_BUDGET_STAYS_HOTEL_RYRq
MAK Hotel,Domlur , Bangalore,https://jiwirooms.com/app/hotel_logo/mak5.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/MAK-Hotel_BUDGET_STAYS_HOTEL_RWUq
